05.99359, 116.13972, Ibis Styles Kota Kinabalu Inanam 1 Jln Taipan 28 Inanam 88450 Kota Kinabalu Sabah
05.88089, 116.05557, SK Tansau Putatan Sabah
05.78905, 115.99120, Beringgis Beach Resort 89600 Kota Kinabalu Sabah
05.64381, 115.95370, St.Kenneth's Catholic Church 89600 Papar Sabah
05.30284, 115.37410, Menumbok Ferry Terminal Menumbok 89760 Menumbok Sabah
04.85735, 115.40733, Hotel Seri Malaysia Lawas Jalan Gaya 98850 Lawas Sarawak
04.75480, 115.00892, Limbang Sarawak
04.80537, 114.65495, The Lanes Hotel Simpang 14 Tutong Brunei
04.39843, 113.98538, Pullman Miri Waterfront 98000 Miri Sarawak
05.30284, 115.37410, Menumbok Ferry Terminal Menumbok 89760 Menumbok Sabah
05.27328, 115.24427, Labuan Pier Unnamed Road Victoria Labuan Federal Territory
05.29133, 115.26128, Taman Sec Airport Labuan Labuan Federal Territory
05.27539, 115.24368, Lot 4 Dataran Jalan Merdeka Bandar Labuan 87000 Labuan Wilayah Persekutuan Labuan Malaysia
05.99359, 116.13972, 
05.99337, 116.13972, 
05.99328, 116.13969, 
05.99339, 116.13907, 
05.99344, 116.13900, 
05.99343, 116.13900, 
05.99343, 116.13899, 
05.99342, 116.13899, 
05.99341, 116.13898, 
05.99341, 116.13897, 
05.99340, 116.13897, 
05.99340, 116.13896, 
05.99339, 116.13895, 
05.99339, 116.13893, 
05.99338, 116.13892, 
05.99291, 116.13876, 
05.99249, 116.13860, 
05.99246, 116.13858, 
05.99242, 116.13856, 
05.99239, 116.13854, 
05.99237, 116.13852, 
05.99236, 116.13852, 
05.99223, 116.13842, 
05.99223, 116.13841, 
05.99218, 116.13830, 
05.99207, 116.13817, 
05.99189, 116.13805, 
05.99182, 116.13808, 
05.99160, 116.13827, 
05.99153, 116.13832, 
05.99141, 116.13843, 
05.99130, 116.13851, 
05.99120, 116.13851, 
05.99091, 116.13873, 
05.99080, 116.13886, 
05.99019, 116.13951, 
05.98975, 116.14014, 
05.98951, 116.14034, 
05.98927, 116.14062, 
05.98913, 116.14075, 
05.98909, 116.14089, 
05.98900, 116.14099, 
05.98885, 116.14109, 
05.98885, 116.14113, 
05.98884, 116.14113, 
05.98884, 116.14116, 
05.98883, 116.14116, 
05.98883, 116.14117, 
05.98882, 116.14117, 
05.98882, 116.14118, 
05.98881, 116.14118, 
05.98881, 116.14119, 
05.98880, 116.14119, 
05.98879, 116.14120, 
05.98876, 116.14120, 
05.98860, 116.14140, 
05.98852, 116.14148, 
05.98838, 116.14158, 
05.98827, 116.14168, 
05.98779, 116.14206, 
05.98756, 116.14227, 
05.98728, 116.14247, 
05.98726, 116.14250, 
05.98678, 116.14288, 
05.98652, 116.14305, 
05.98619, 116.14337, 
05.98606, 116.14357, 
05.98592, 116.14386, 
